排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
144,strict895_0663,第一轮候补,同领域同靶点家族扩展,Cabozantinib S-Malate,CHEMBL2103868,肿瘤,Oncology,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.8755057242704,0.6910026,3,0.7055780321897952,激酶生化/细胞,keep_medium,medium,是,是,否,上市后文献有新靶点线索,228,224,42342601;42107510;41977363,42342601;42107510;41977363,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Cabozantinib S-Malate→RET 主要由 ConPLEx=0.691/rank=3 支撑；Cabozantinib-RET ConPLEx 高且 rank=3，但可能接近已知多靶点 kinase 机制。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.691, rank=3; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,Cabozantinib-RET ConPLEx 高且 rank=3，但可能接近已知多靶点 kinase 机制。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
145,strict895_0449,第一轮候补,跨大领域老药新用,Cobicistat,CHEMBL2095208__COBICISTAT,未知,,SLC34A2,Sodium-dependent phosphate transport protein 2B,肺鳞癌,squamous cell lung carcinoma,实体瘤,60.846983677136194,0.44692403,69,0.3699494345393864,转运体摄取/外排,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,SLC34A2高表达肺鳞癌/肺腺癌、子宫内膜癌,机制中等可信：SLC34A2与SLC34A2高表达肺鳞癌/肺腺癌、子宫内膜癌匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中等到中高：摄取/外排实验可行，但底物选择、离子梯度、外排转运和细胞状态会显著影响读数。,SLC34A2钠依赖磷酸盐摄取实验；过表达细胞、空载体和低钠条件确认target engagement,SLC34A1/A3、其他阴离子/磷酸盐转运体，培养基磷酸盐、外排转运、底物读数干扰和细胞毒性反筛,药内排名靠后，优先级下降。；SLC34A2读数强依赖钠/磷酸盐条件，肿瘤表型容易被细胞状态混淆。
146,strict895_0659,第一轮候补,同领域同靶点家族扩展,Bosutinib Monohydrate,CHEMBL2095206,肿瘤,Oncology,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.68228099093706,0.49585947,23,0.7055780321897952,激酶生化/细胞,keep_medium,medium,是,是,否,上市后文献有新靶点线索,1,1,30423915,30423915,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Bosutinib Monohydrate→RET 主要由 ConPLEx=0.496/rank=23 支撑；Bosutinib-RET ConPLEx 中等且 rank=23，疾病证据强但药物-靶点优先级中等。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.496, rank=23; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,Bosutinib-RET ConPLEx 中等且 rank=23，疾病证据强但药物-靶点优先级中等。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
147,strict895_0083,第一轮候补,跨大领域老药新用,Tecovirimat,CHEMBL5315121,感染性疾病,Infectious Disease,NTRK2,BDNF/NT-3 growth factors receptor,乳腺癌,breast carcinoma,实体瘤,60.611652978300015,0.42824835,31,0.3093361471837043,酶/表观遗传生化,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,NTRK2/TRKB 融合或高表达胶质瘤/少突胶质瘤模型；需确认 NTRK2 依赖。,Tecovirimat -> NTRK2（BDNF/NT-3 growth factors receptor）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
148,strict895_0643,第一轮候补,同领域新靶点/新病种探索,Apalutamide,CHEMBL3183409,肿瘤,Oncology,CDK6,Cyclin-dependent kinase 6,乳腺癌,breast carcinoma,实体瘤,60.55444250892586,0.45333382,8,0.6103198922485568,激酶生化/细胞,keep_medium,medium,是,否,否,上市后文献有新靶点线索,1,1,41167216,41167216,CDK6 依赖 HR+乳腺癌；AML/ALL；淋巴瘤,"child Open Targets 最佳疾病为 breast carcinoma，score=0.610（genetic=0.000, clinical=0.874, literature=0.696），CDK6-疾病证据为较强。Apalutamide→CDK6 主要由 ConPLEx=0.453/rank=8 支撑；CDK6 疾病证据较强，Apalutamide 转向细胞周期靶点需要排除内分泌轴间接效应。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.453, rank=8; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：CDK6 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK6 依赖 HR+乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK6 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,CDK6 疾病证据较强，Apalutamide 转向细胞周期靶点需要排除内分泌轴间接效应。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=疾病方向接近原适应症，老药新用 novelty 较弱
149,strict895_0107,第一轮候补,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,AKT1,RAC-alpha serine/threonine-protein kinase,精神分裂症,schizophrenia,神经/精神,60.531125164775204,0.4990404,5,0.1144847332492684,激酶生化/细胞,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,AKT1 相关神经病理性疼痛、神经炎症或缺血性神经保护模型,机制中等：AKT1 与AKT1 相关神经病理性疼痛、神经炎症或缺血性神经保护模型可连通，但药物-AKT1 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,AKT1 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,AKT1 可连接神经保护/疼痛和炎症，但 CREEDS 混有脱水、精神疾病等非特异信号；适合中优先级验证。
150,strict895_0710,第一轮候补,同领域同靶点家族扩展,Bosutinib Monohydrate,CHEMBL2095206,肿瘤,Oncology,PDGFRA,Platelet-derived growth factor receptor alpha,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,60.50512806666666,0.46796703,24,0.8245011238749937,酶/表观遗传生化,keep_medium,medium,是,是,否,上市后文献有新靶点线索,1,1,41464113,41464113,PDGFRA 突变 GIST；胶质瘤/肉瘤探索；肾纤维化不作为主线,"child Open Targets 最佳疾病为 gastrointestinal stromal tumor，score=0.825（genetic=0.647, clinical=0.979, literature=0.971），PDGFRA-疾病证据为强。Bosutinib Monohydrate→PDGFRA 主要由 ConPLEx=0.468/rank=24 支撑；PDGFRA-GIST evidence 强，Bosutinib ConPLEx 中等且 kinase assay 可行。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.468, rank=24; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：PDGFRA 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 PDGFRA 突变 GIST 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 PDGFRA 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,PDGFRA-GIST evidence 强，Bosutinib ConPLEx 中等且 kinase assay 可行。 child_ot_status=child_ot_match; best_child=gastrointestinal stromal tumor; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
151,strict895_0280,第一轮候补,跨大领域老药新用,Conivaptan Hydrochloride,CHEMBL1755,胃肠/消化,Gastroenterology,KDR,Vascular endothelial growth factor receptor 2,肝细胞癌,hepatocellular carcinoma,实体瘤,60.369066390242,0.2454059,29,0.6777833062329777,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,HCC、肺癌/小细胞肺癌的 VEGFR2 血管生成模型,机制审计：中等优先保留。KDR/VEGFR2 是血管生成核心靶点，HCC/肺癌方向明确且可用酶活与细胞磷酸化验证。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,KDR 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.245/rank29；literature_status=unreported_in_pubmed_pair_audit；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
152,strict895_0518,第一轮候补,跨大领域老药新用,Fosamprenavir Calcium,CHEMBL1664,感染性疾病,Infectious Disease,KLK3,Prostate-specific antigen,前列腺癌,prostate cancer,实体瘤,60.33743074596889,0.27128607,37,0.6226998879689877,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,KLK3/PSA阳性前列腺癌和分泌蛋白酶模型,机制中等：KLK3为前列腺癌具体标志/蛋白酶，Fosamprenavir为蛋白酶抑制剂类，存在可测跨蛋白酶假说。,中高：KLK3酶活和结合实验可行；需KLK家族及底物干扰反筛。,重组KLK3/PSA蛋白酶底物活性、SPR/DSF结合和前列腺癌细胞分泌PSA readout。,KLK2/4、胰蛋白酶样蛋白酶、MMP/丝氨酸蛋白酶panel，荧光底物干扰和聚集体反筛。,保留但定位应是前列腺癌/PSA轴，不宜泛化到所有肿瘤。
153,strict895_0495,第一轮候补,同领域新靶点/新病种探索,Abiraterone Acetate,CHEMBL271227,肿瘤,Oncology,SLC34A2,Sodium-dependent phosphate transport protein 2B,肺鳞癌,squamous cell lung carcinoma,实体瘤,60.32386227713619,0.5505531,37,0.3699494345393864,转运体摄取/外排,keep_medium,中,是,否,否,PubMed pair审计未见明确报道,0,0,,,SLC34A2高表达肺鳞癌/肺腺癌和子宫内膜癌模型,机制中等：NaPi-IIb肿瘤表达病种具体，Abiraterone同为肿瘤/内分泌药使novelty受限但target class可直接测。,高：磷酸盐摄取readout成熟；需排除甾体内分泌和细胞毒性。,NaPi-IIb过表达细胞磷酸盐摄取实验，钠依赖曲线、空载体和已知抑制条件对照。,SLC34A1/3、SLC20A1/2，钠依赖性、pH影响、磷酸盐沉淀和细胞毒性反筛。,保留为转运体候选，优先SLC34A2高表达肺癌模型。
154,strict895_0112,第一轮候补,跨大领域老药新用,Rolapitant Hydrochloride,CHEMBL3707331,胃肠/消化,Gastroenterology,CDK4,Cyclin-dependent kinase 4,乳腺癌,breast cancer,实体瘤,60.26861058405045,0.24451514,12,0.6307216615133534,激酶生化/细胞,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,CDK4 依赖 HR+ 乳腺癌和去分化/高分化脂肪肉瘤,机制中等：CDK4 与CDK4 依赖 HR+ 乳腺癌和去分化/高分化脂肪肉瘤可连通，但药物-CDK4 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,CDK4-Cyclin 复合物 kinase IC50；细胞 pRB、G1 arrest 和 target engagement/NanoBRET，配合 CDK4/6 依赖细胞系。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,CDK4 疾病定位强且 assay 直接，但 Rolapitant 预测分数低；可作为低成本 kinase 验证候选。
155,strict895_0547,第一轮候补,跨大领域老药新用,Maraviroc,CHEMBL256907,感染性疾病,Infectious Disease,TYR,Tyrosinase,黑色素瘤,melanoma,实体瘤,60.10922460174167,0.29896694,95,0.5551452178551856,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,黑色素瘤/原位黑色素瘤；银屑病仅作皮肤炎症对照,机制审计：中等优先保留。TYR 是黑色素合成酶，黑色素瘤和皮肤色素模型有清楚生物学 readout，适合做直接酶学确认。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 melanoma（score=0.555）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,TYR/DOPA oxidation 酶活、melanin 生成和铜螯合控制；黑色素细胞/黑色素瘤细胞做剂量反应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=melanoma(0.555), ConPLEx=0.299/rank95; literature_status=unreported_in_pubmed_pair_audit. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
156,strict895_0642,第一轮候补,同领域同靶点家族扩展,Regorafenib,CHEMBL1946170,肿瘤,Oncology,EGFR,Epidermal growth factor receptor,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.06087360000001,0.43701872,4,0.8525670184292347,激酶生化/细胞,keep_medium,medium,是,是,否,上市后文献有新靶点线索,173,173,42288407;41989694;41876642,42288407;41989694;41876642,EGFR 突变/依赖 NSCLC；头颈鳞癌；少突胶质细胞瘤探索,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.853（genetic=0.746, clinical=0.996, literature=1.000），EGFR-疾病证据为强。Regorafenib→EGFR 主要由 ConPLEx=0.437/rank=4 支撑；EGFR-NSCLC 证据强，Regorafenib kinase 背景支持中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.437, rank=4; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：EGFR 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 EGFR 突变/依赖 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 EGFR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,EGFR-NSCLC 证据强，Regorafenib kinase 背景支持中优先级验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
