排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
151,P2 第11–20排名且仍可探索,C384-054,bupivacaine,Sodium channel protein type 4 subunit alpha,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,已有MMP12体系可候补，核药物异构体与非特异吸附，结合需酶活复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
152,P2 第11–20排名且仍可探索,C384-055,pregabalin,Voltage-gated calcium channel,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,已有成熟活性肾素体系才候补，先低成本酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
153,P2 第11–20排名且仍可探索,C384-147,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,MAPK9 — Mitogen-activated protein kinase 9,TANZISERTIB,CTRL-093,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先以JNK1/JNK2活性小面板区分，再选择一个有重复效应的构建做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YIBOMRUWOWDFLG-ONEGZZNKSA-N,CHEMBL4179,CHEMBL1950289,IBGLGMOPHJQDJB-IHRRRGAJSA-N
154,P2 第11–20排名且仍可探索,C384-149,guanfacine,Adrenergic receptor alpha-2,ROCK2 — Rho-associated protein kinase 2,Y-39983,CTRL-070,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核查ROCK1/2选择性活性；结合后需确定眼部研究可实现的作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,INJOMKTZOLKMBF-UHFFFAOYSA-N,CHEMBL2973,CHEMBL571948,JTVBXQAYBIJXRP-SNVBAGLBSA-N
155,P2 第11–20排名且仍可探索,C384-241,larotrectinib,Neurotrophic tyrosine kinase receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,FKBP配体竞争/功能验证，不靠TRK标签升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NYNZQNWKBKUAII-KBXCAEBGSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
156,P2 第11–20排名且仍可探索,C384-242,dolutegravir,Human immunodeficiency virus type 1 integrase,MAPK9 — Mitogen-activated protein kinase 9,TANZISERTIB,CTRL-093,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,JNK2与1/3并行，功能成立后细化癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RHWKPHLQXYSBKR-BMIGLBTASA-N,CHEMBL4179,CHEMBL1950289,IBGLGMOPHJQDJB-IHRRRGAJSA-N
157,P2 第11–20排名且仍可探索,C384-243,ribociclib,Cyclin-dependent kinase 4; Cyclin-dependent kinase 6,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯化REN实验，不用合用临床结果作直连。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RHXHGRAEPCAFML-UHFFFAOYSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
158,P2 第11–20排名且仍可探索,C384-244,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE,CTRL-018,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,TYMS辅因子与催化条件明确后检验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL1952,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N
159,P2 第11–20排名且仍可探索,C384-245,etonogestrel,Progesterone receptor,VDR — Vitamin D3 receptor,研究化合物 CHEMBL4066573（无通用名称）,CTRL-021,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,固定母药而非前体；激动拮抗方向分别判读。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL1977,CHEMBL4066573,UBDHJEXXHMTARH-DRVSFAKCSA-N
160,P2 第11–20排名且仍可探索,C384-173,quetiapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D(2) dopamine receptor,ESRRG — Estrogen-related receptor gamma,BISPHENOL A,CTRL-094,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,先核查ERRγ竞争/转录报告，若仅原受体介导细胞效应则不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,URKOMYMAXPYINW-UHFFFAOYSA-N,CHEMBL4245,CHEMBL418971,IISBACLAFKSPIT-UHFFFAOYSA-N
161,P2 第11–20排名且仍可探索,C384-174,naltrexone,Opioid receptors; mu/kappa/delta,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,如PDE9A平台已准备好，先测cGMP水解；出现重复效应再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DQCKKXVULJGBQN-XFWGSAIBSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
162,P2 第11–20排名且仍可探索,C384-275,nicardipine,Voltage-gated L-type calcium channel,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,在合格FAAH体系低成本探索并正交验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZBBHBTPTTSWHBA-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
163,P2 第11–20排名且仍可探索,C384-298,panobinostat,Histone deacetylase,PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯PARP2与PARP1功能比较，不用表达下降当结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FPOHNWQLNRZRFC-ZHACJKMWSA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
164,P2 第11–20排名且仍可探索,C384-348,enasidenib,"Isocitrate dehydrogenase [NADP], mitochondrial",GSK3B — Glycogen synthase kinase-3 beta,STAUROSPORINE,CTRL-056,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯GSK3B与IDH2作用分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL262,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
165,P2 第11–20排名且仍可探索,C384-350,tipiracil,Thymidine phosphorylase,TYMS — Thymidylate synthase,5-FLUORODEOXYURIDYLATE,CTRL-018,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,确认纯替匹嘧啶并做TYMS功能，不转移复方结果。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,CHEMBL1952,CHEMBL886,HFEKDTCAMMOLQP-RRKCRQDMSA-N
166,P2 第11–20排名且仍可探索,C384-019,dasabuvir,RNA-directed RNA polymerase,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
167,P2 第11–20排名且仍可探索,C384-077,elexacaftor,Cystic fibrosis transmembrane conductance regulator,"PIK3CG — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PICTILISIB,CTRL-077,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核纯母药与PI3Kγ构建，再直接测脂质激酶活性；无额外支持不单独建体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MVRHVFSOIWFBTE-INIZCTEOSA-N,CHEMBL3267,CHEMBL521851,LHNIIDJUOCFXAP-UHFFFAOYSA-N
168,P2 第11–20排名且仍可探索,C384-246,labetalol,Adrenergic receptor,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,核对混合异构体，ACE功能与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
169,P2 第11–20排名且仍可探索,C384-247,ubrogepant,Calcitonin gene-related peptide type 1 receptor,JAK3 — Tyrosine-protein kinase JAK3,STAUROSPORINE,CTRL-039,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,JAK3与JAK1/2生化反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,CHEMBL2148,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
170,P2 第11–20排名且仍可探索,C384-113,amlodipine,Voltage-gated L-type calcium channel,CA12 — Carbonic anhydrase 12,INDAPAMIDE,CTRL-075,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,核混合/单异构体身份及CA12胞外域，阳性后补同工酶选择性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CHEMBL3242,CHEMBL406,NDDAHWYSQHTHNT-UHFFFAOYSA-N
171,P2 第11–20排名且仍可探索,C384-179,rucaparib,"PARP 1, 2 and 3","PIK3CB — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",PICTILISIB,CTRL-073,"IC50,Kd,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核对PI3Kβ生化活性和构建，避免以DNA修复细胞表型作直接结合替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HMABYWSNWIZPAG-UHFFFAOYSA-N,CHEMBL3145,CHEMBL521851,LHNIIDJUOCFXAP-UHFFFAOYSA-N
172,P2 第11–20排名且仍可探索,C384-276,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC1 — Histone deacetylase 1,TRICHOSTATIN,CTRL-076,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,HDAC1适配复合体与酶活，肺癌重叠单列新颖性。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL325,CHEMBL99,RTKIYFITIVXBLE-QEQCGCAPSA-N
173,P2 第11–20排名且仍可探索,C384-351,albuterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟CTSC测单药，支气管扩张表型另判。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NDAUXUAQIAJITI-UHFFFAOYSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
174,P2 第11–20排名且仍可探索,C384-373,mebendazole,Tubulin,HCK — Tyrosine-protein kinase HCK,STAUROSPORINE,CTRL-074,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯HCK生化检验，宿主与寄生虫效应分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OPXLLQIJSORQAM-UHFFFAOYSA-N,CHEMBL3234,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
175,P2 第11–20排名且仍可探索,C384-057,quinidine,Sodium channel alpha subunit,ACVRL1 — Activin receptor type-1-like,AT-9283,CTRL-109,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,按精确药物与ACVRL1标识核panel，有独立线索再投入激酶体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LOUPRKONTZGTKE-LHHVKLHASA-N,CHEMBL5311,CHEMBL495727,LOLPPWBBNUVNQZ-UHFFFAOYSA-N
176,P2 第11–20排名且仍可探索,C384-059,avibactam,Beta-lactamase TEM,DPP4 — Dipeptidyl peptidase 4,LINAGLIPTIN,CTRL-065,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先用单体avibactam测DPP4酶活，勿用复方或共价机制泛化替代证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL284,CHEMBL237500,LTXREWYXXSTFRX-QGZVFWFLSA-N
177,P2 第11–20排名且仍可探索,C384-060,labetalol,Adrenergic receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,已有活性EGLN3才候补，核模型立体化学与采购物一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
178,P2 第11–20排名且仍可探索,C384-061,mebendazole,Tubulin,FGFR2 — Fibroblast growth factor receptor 2,FEXAGRATINIB,CTRL-092,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先测激酶域结合和酶活；不能只用肿瘤细胞抑制认定靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OPXLLQIJSORQAM-UHFFFAOYSA-N,CHEMBL4142,CHEMBL3348846,VRQMAABPASPXMW-HDICACEKSA-N
179,P2 第11–20排名且仍可探索,C384-150,methocarbamol,Carbonic anhydrase 1,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先用CA1作机制参照、CA7作新靶点测相同条件酶活，匹配pH并核对SPR动力学。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GNXFOGHNGIVQEH-UHFFFAOYSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
180,P2 第11–20排名且仍可探索,C384-249,bictegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,STAUROSPORINE,CTRL-047,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,单药JNK1/2/3实验并细化癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL2276,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
181,P2 第11–20排名且仍可探索,C384-114,glasdegib,Protein smoothened,PDGFRA — Platelet-derived growth factor receptor alpha,STAUROSPORINE,CTRL-026,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有PDGFRA域与参照才少量追加，核野生型/突变以避免错配。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL2007,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
182,P2 第11–20排名且仍可探索,C384-299,asenapine,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,MAOB酶活及选择性验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
183,P2 第11–20排名且仍可探索,C384-354,binimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,纯人DHFR酶活及吸光干扰控制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
184,P2 第11–20排名且仍可探索,C384-375,esketamine,Glutamate [NMDA] receptor,GSK3B — Glycogen synthase kinase-3 beta,STAUROSPORINE,CTRL-056,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯GSK3B与NMDA机制分离，可检验新直接靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL262,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
185,P2 第11–20排名且仍可探索,C384-062,nevirapine,Human immunodeficiency virus type 1 reverse transcriptase,AKT1 — RAC-alpha serine/threonine-protein kinase,IPATASERTIB,CTRL-096,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核细胞条件与直接酶活，若只做SPR须匹配AKT1激活状态。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NQDJXKOVJZTUJA-UHFFFAOYSA-N,CHEMBL4282,CHEMBL2177390,GRZXWCHAXNAUHY-NSISKUIASA-N
186,P2 第11–20排名且仍可探索,C384-063,dasabuvir,RNA-directed RNA polymerase,ALK — ALK tyrosine kinase receptor,STAUROSPORINE,CTRL-095,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先取得纯药直接作用线索，不能把联用限制当新靶点证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NBRBXGKOEOGLOI-UHFFFAOYSA-N,CHEMBL4247,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
187,P2 第11–20排名且仍可探索,C384-066,doravirine,Human immunodeficiency virus type 1 reverse transcriptase,NR3C1 — Glucocorticoid receptor,PREDNISONE,CTRL-030,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,已有GR-LBD体系才候补，先证结合及功能，勿将激素联用信息当新靶点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,CHEMBL2034,CHEMBL635,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
188,P2 第11–20排名且仍可探索,C384-078,relugolix,Gonadotropin-releasing hormone receptor,FLT1 — Vascular endothelial growth factor receptor 1,STAUROSPORINE,CTRL-008,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有匹配FLT1构建才追加，结合与酶/受体功能需一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AOMXMOCNKJTRQP-UHFFFAOYSA-N,CHEMBL1868,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
189,P2 第11–20排名且仍可探索,C384-193,roflumilast,Phosphodiesterase 4,ACHE — Acetylcholinesterase,HUPERZINE A,CTRL-043,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,按母药而非N-oxide配制；用ACHE活性与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MNDBXUUTURYVHR-UHFFFAOYSA-N,CHEMBL220,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N
190,P2 第11–20排名且仍可探索,C384-251,glasdegib,Protein smoothened,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,FAAH功能及非特异反筛，不归因一般抗炎表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
191,P2 第11–20排名且仍可探索,C384-252,lubiprostone,Chloride channel protein 2,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认母体及可用浓度，FKBP竞争验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
192,P2 第11–20排名且仍可探索,C384-253,vaborbactam,Carbapenem-hydrolyzing beta-lactamase KPC,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,使用单成分并测FKBP12，勿迁移细菌蛋白结果。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IOOWNWLVCOUUEX-WPRPVWTQSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
193,P2 第11–20排名且仍可探索,C384-254,ubrogepant,Calcitonin gene-related peptide type 1 receptor,METAP2 — Methionine aminopeptidase 2,WM-1119,CTRL-085,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,METAP2金属条件和METAP1反筛，疾病推断另评。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,CHEMBL3922,CHEMBL4456585,QLXULUNLCRKWRD-UHFFFAOYSA-N
194,P2 第11–20排名且仍可探索,C384-255,mirabegron,Beta-3 adrenergic receptor,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,用纯MME活性检验新机制，控制可用浓度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PBAPPPCECJKMCM-IBGZPJMESA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
195,P2 第11–20排名且仍可探索,C384-280,silodosin,Alpha-1A adrenergic receptor,CSF1R — Macrophage colony-stimulating factor 1 receptor,DASATINIB ANHYDROUS,CTRL-006,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,CSF1R功能后确认肺动脉高压作用方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PNCPYILNMDWPEY-QGZVFWFLSA-N,CHEMBL1844,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
196,P2 第11–20排名且仍可探索,C384-185,loxapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D2-like dopamine receptor,NTRK3 — NT-3 growth factor receptor,STAUROSPORINE,CTRL-111,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,核对精确loxapine结构并做TRKC酶活，避免将LOXO-195/larotrectinib资料误归本药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XJGVXQDUIWGIRW-UHFFFAOYSA-N,CHEMBL5608,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
